shap_sample_idx,cluster,pca_x,pca_y
83042,1,8.75864,1.0522109
28119,4,-4.550442,3.6113405
35905,1,8.905024,1.1387696
9655,4,-4.4493284,3.463756
37191,2,-4.094573,2.6463134
169522,2,-4.142928,3.3148754
85691,1,8.582271,0.6973826
4,4,-4.3454475,4.0569997
96025,4,-4.4125023,3.950807
69851,1,8.540642,1.049673
166755,4,-4.503467,3.969345
77530,3,-2.48734,-3.136775
156203,1,8.380223,-0.2954554
97209,0,-3.4761732,-8.731408
172054,4,-4.3146443,4.305339
135022,3,-3.4207482,-3.1947923
165777,2,-3.784099,2.1684833
13076,1,8.279033,-0.020814767
103210,1,8.736603,0.9547314
29358,4,-4.416912,3.6772835
80210,3,-2.6155045,-2.935627
13295,1,8.146603,0.18912345
17197,1,6.099786,-3.297041
177909,3,-2.7960627,-2.2679362
33281,4,-5.056127,3.7602887
25996,0,-2.7592084,-8.618059
162819,1,9.004416,0.7904409
94620,1,8.468724,1.1499615
147835,1,8.433362,0.08739814
115528,0,-3.2317176,-7.8928995
12221,1,8.678125,0.8250864
190326,1,5.6617737,-4.4737782
148963,1,8.542021,1.2222747
174219,4,-3.990403,3.547368
150975,4,-4.507637,4.034879
49248,4,-4.465726,3.9402132
151011,4,-4.347125,3.7882924
119799,2,-4.3366957,2.4816337
101144,0,-3.4140425,-7.495055
37274,4,-4.4051576,4.1899924
22469,0,-3.4606268,-7.4994836
97690,2,-4.405346,2.5652537
39086,4,-5.4349275,3.758781
172055,4,-4.237736,4.2240863
110319,3,-2.8693128,-3.5190568
36208,1,6.2594357,-5.421441
187350,4,-4.352212,4.075658
164033,3,-2.6755488,-1.2337828
166427,1,8.510305,1.2798315
15140,1,8.870313,1.2727258
28109,4,-4.4430084,3.7582788
96690,4,-4.639726,4.095895
116520,4,-5.02094,3.352014
169075,2,-4.4031014,2.62181
185057,3,-2.9736242,-1.0829293
44241,0,-3.3038392,-7.9695196
37235,1,8.842878,1.1840501
112017,0,-3.7006834,-8.550611
57972,3,-2.769006,-2.7622962
2493,1,6.1013384,-2.4076242
120194,3,-2.5899549,-3.279317
106627,2,-4.4574895,2.806841
9298,1,8.222777,0.27179456
147915,2,-4.2477455,2.743957
112761,1,8.331311,-0.0013637658
156575,1,8.3937,0.101732574
96407,3,-2.497261,-2.9881864
83093,4,-4.347885,4.074256
98349,1,9.01852,1.2620063
157575,4,-4.395666,4.0715013
102078,4,-4.6999593,4.2593603
2459,1,8.763045,1.2683593
38295,0,-3.6792157,-8.665763
50387,4,-4.239879,3.5956795
167595,1,8.645709,0.95991385
103774,4,-5.2167344,3.956208
179952,1,8.28084,0.011167469
144252,2,-3.3250628,2.2714028
97127,0,-3.7392776,-8.663364
101178,0,-3.2985268,-7.959986
99507,0,-3.4171908,-7.707447
185036,4,-4.519584,4.1412377
147986,4,-4.257905,3.9201126
49518,1,8.247924,-0.2598047
149528,3,-2.7889225,-1.5104157
24330,1,8.335728,0.3613123
14482,1,8.427819,0.1228535
113241,4,-4.400772,3.9786813
136780,3,-2.4041107,-3.8521338
13693,1,8.733615,0.6502232
102156,1,8.238852,0.28490207
85866,2,-4.288122,2.4256914
43529,1,6.102322,-3.7503881
16360,1,8.30229,0.9380883
48831,1,8.369347,-0.12026264
264,4,-4.453789,4.1347013
119683,2,-4.187979,2.1772752
81936,4,-4.3371515,4.2409964
111956,0,-3.4960778,-8.832559
118902,3,-2.798793,-2.3084407
23881,3,-2.844285,-1.9599711
80496,1,8.684186,1.376564
113403,0,-3.6322422,-8.502333
3080,2,-4.2483096,2.4472942
5955,1,8.616111,0.78989065
13674,0,-3.5452778,-8.655807
14325,1,8.563294,1.3274022
114998,2,-4.505834,2.4117444
187768,0,-2.9214275,-7.3025913
94082,1,8.799082,1.177182
7300,3,-2.423169,-3.2208393
14359,1,8.470375,0.047756832
181760,0,-3.5459113,-8.4082575
50255,4,-4.4562182,4.2357664
91475,1,6.050398,-3.1532187
180797,0,-2.9656615,-7.427862
31815,0,-3.0152378,-7.321375
20495,1,8.50356,0.6163652
120985,3,-2.990048,-3.1516275
33222,1,8.845788,0.9831609
51467,2,-4.309297,2.5425544
100690,0,-3.3149624,-7.7669415
179967,1,8.6851,0.96898794
120419,3,-2.5220048,-3.1476557
7228,3,-3.1809845,-3.0517209
104375,4,-4.4399343,4.267423
35892,1,8.059281,0.14749907
148168,4,-4.4158106,3.6599686
147811,1,8.024453,0.011751497
87848,3,-2.8254106,-1.5404
18012,1,8.870772,1.0913873
28180,4,-4.66502,4.3183436
165488,2,-4.520649,2.5174143
39191,2,-4.5218215,2.614995
169606,3,-2.9224448,-2.6656594
151767,1,8.749956,0.8104685
84044,4,-4.129118,4.30911
7011,3,-2.4383147,-3.425673
88700,1,8.621242,1.2986525
96951,2,-4.5140014,2.9158454
32192,2,-5.118484,2.547407
32993,4,-4.5257964,3.8155267
14621,2,-4.7259645,3.1109042
120834,3,-2.7112694,-2.0439284
8627,1,8.356851,-0.0214208
97815,0,-3.812913,-8.770539
27800,0,-3.6452427,-8.704098
42708,4,-4.376481,3.834906
34605,0,-3.7603338,-8.544009
167448,2,-4.5893345,2.350315
21048,2,-4.2778096,2.5578241
30714,4,-4.3716154,4.240148
161224,1,8.7563715,1.0749259
27058,0,-3.4293525,-7.7413116
158122,2,-4.288447,2.3984382
8570,2,-4.4763336,2.6032386
50554,2,-4.302718,2.5179908
184603,4,-4.3374853,3.8706481
18516,0,-3.4382792,-7.5499954
60405,0,-3.2571318,-6.619338
185520,0,-3.061261,-7.300624
48676,1,8.691808,1.0779446
137347,3,-2.8960476,-3.5788064
60189,0,-2.8496892,-6.6053915
164073,1,8.671887,1.0902267
171758,4,-4.4320564,3.818332
51542,1,8.83367,1.1380576
164338,3,-3.6659908,-2.822364
161077,2,-4.1271496,2.4289193
96789,2,-4.703148,3.4989684
168734,1,8.220683,0.9969659
45313,0,-3.0508637,-8.083418
192628,3,-2.4890532,-3.5685387
8377,4,-4.5382338,3.7609265
107696,1,8.369499,0.2716333
166579,4,-4.330642,3.8266227
37725,4,-4.40904,3.7100315
92421,2,-4.5531654,2.7449007
111682,2,-4.393155,2.4291706
161337,2,-4.289568,2.5254712
69838,1,8.16866,-0.2857487
94371,1,8.854398,1.0709268
107977,1,8.320667,0.13332413
169478,4,-4.4315658,3.9779398
62505,0,-3.3477223,-6.530824
100720,0,-3.160793,-8.126807
33223,1,8.957768,1.137557
17402,0,-3.004828,-6.7060037
87852,1,8.482046,0.903484
90436,1,8.731468,0.14751802
181133,4,-4.50816,3.9944649
103449,4,-4.5717754,4.298362
94313,1,8.98792,1.1751728
176476,4,-4.371948,3.3322098
183637,4,-4.3311315,3.922167
169955,2,-4.668081,2.5751612
177309,4,-4.468447,3.8018517
27066,0,-3.4125967,-7.7193627
165406,1,8.753376,1.2707268
40100,0,-3.6689568,-8.788461
112992,4,-5.0302444,3.5292916
80010,2,-4.0993357,2.3805711
166406,4,-4.4108505,3.6378536
135880,0,-3.3651276,-6.67812
123544,4,-4.1333327,4.0756583
117402,2,-4.475727,2.3412411
93333,4,-4.364958,3.8511364
